nombre_parque	departamento	lat	lon	enlace	referente_parque	telefono	email	vias_acceso	distancias_puertos_aerop	sup_total_ha	cant_lotes	sup_disponible_ha	cant_empresas	cant_emp_proyeccion	cant_emp_exportadoras	cant_personas_empleadas	pct_sup_disponible	infra_alumbrado	infra_cerco	infra_energia	infra_gas	infra_accesos	infra_desagues	infra_agua	infra_conectividad	infra_efluentes	infra_seguridad	otros_servicios	promociones_municipales	rubros_instalados	empresas_instaladas	score_servicios	tiene_promocion	media_servicios	desvio_servicios	sup_para_radio	radio_px
Parque Industrial Colón	Colón	-32.25163977	-58.24049876	https://parquesindustriales.entrerios.gov.ar/parques/29	Carolina Bombig	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Autovía Nacional Nº 14	NA	85	NA	NA	1	0	1	0	NA	0	0	0	1	0	0	1	1	0	0	NA	No tiene	Alimentos	Bonnin Hnos.	3	FALSE	4.54054054054054	-1.5405405405405403	85	11.190243902439025
Parque Industrial Lucas González	Nogoyá	-32.4122956355702	-59.5305568700738	https://parquesindustriales.entrerios.gov.ar/parques/30	Díaz Molina Nancy del Rosario	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12	NA	19	NA	19	0	0	0	0	100	0	0	0	0	1	0	0	0	0	0	NA	No tiene	NA	NA	1	FALSE	4.54054054054054	-3.5405405405405403	19	6.682926829268292
Parque Industrial Valle María	Diamante	-31.9886410739607	-60.5594020103841	https://parquesindustriales.entrerios.gov.ar/parques/31	Franco Rohr	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Ruta Nacional Nº 12	NA	42	NA	42	0	2	0	0	100	0	0	0	0	1	0	1	0	0	0	NA	No tiene	NA	NA	2	FALSE	4.54054054054054	-2.5405405405405403	42	8.253658536585366
Parque Industrial San Salvador/General Campos	San Salvador	-31.59019063	-58.46960434	https://parquesindustriales.entrerios.gov.ar/parques/32	Aldo Raul Pastorini	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre ex Ruta Nacional Nº 18	NA	105	NA	NA	0	2	0	0	NA	0	0	0	0	0	0	0	0	0	0	NA	No tiene	NA	NA	0	FALSE	4.54054054054054	-4.54054054054054	105	12.55609756097561
Parque Industrial Villa Tabossi	Paraná	-31.8177566587766	-59.9323436451107	https://parquesindustriales.entrerios.gov.ar/parques/33	Oscar Jacobi	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Provincial Nº 32	NA	10	NA	10	0	1	0	0	100	0	1	0	1	1	0	1	0	0	0	NA	No tiene	NA	NA	4	FALSE	4.54054054054054	-0.5405405405405403	10	6.068292682926829
Parque Industrial Santa Elena	La Paz	-30.9654068433687	-59.7734700270733	https://parquesindustriales.entrerios.gov.ar/parques/34	Alberto Alarcón	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso desde Ruta Nacional Nº 12	NA	40	NA	40	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	NA	No tiene	NA	NA	0	FALSE	4.54054054054054	-4.54054054054054	40	8.117073170731707
Parque Industrial San José de Feliciano	Gualeguay	-30.4135590295779	-58.7487520715514	https://parquesindustriales.entrerios.gov.ar/parques/35	Mirna Moreno	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	No se encontraron vías disponibles	NA	28	NA	28	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	NA	No tiene	NA	NA	0	FALSE	4.54054054054054	-4.54054054054054	28	7.297560975609756
Parque Industrial Gualeguay	Gualeguay	-33.1789011898193	-59.3371996265563	https://parquesindustriales.entrerios.gov.ar/parques/36	Natalia Rosales	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	No se encontraron vías disponibles	NA	65	NA	65	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	NA	No tiene	NA	NA	0	FALSE	4.54054054054054	-4.54054054054054	65	9.824390243902439
Parque Industrial Ubajay	Colón	-31.7866486281046	-58.3114267784172	https://parquesindustriales.entrerios.gov.ar/parques/37	Edgar Raimondo	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Autovía Nacional Nº 14	NA	99	NA	99	0	6	0	0	100	0	1	0	1	1	0	1	0	0	0	NA	No tiene	NA	NA	4	FALSE	4.54054054054054	-0.5405405405405403	99	12.146341463414634
Parque Industrial Gualeguaychú (Municipal)	Gualeguaychú	-33.0267144514673	-58.6065778299143	https://parquesindustriales.entrerios.gov.ar/parques/38	Estela Valentina Miño	+54 9 343 5290012	parquesindustriales@entrerios.gov.ar	Acceso sobre Autovía Nacional Nº 14	NA	23	NA	23	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	NA	No tiene	NA	NA	0	FALSE	4.54054054054054	-4.54054054054054	23	6.95609756097561
